alias am_lat am_lat_std am_lon am_lon_std am_ele am_ele_std network stacode h_dist v_dist level lat lon ele elg
A0059 43.197850 0.000050 12.353650 0.000050 0.929 0.000 ING ATTE 0.0000 0.0000 0 43.197800 12.353700 0.929 0.959
A0059 43.197850 0.000050 12.353650 0.000050 0.929 0.000 IV ATTE 0.0138 0.0000 1 43.197900 12.353600 0.929 NULL
A0060 43.278600 0.000000 12.285310 0.000000 0.605 0.000 ING ATVA 0.0000 0.0000 0 43.278600 12.285310 0.605 NULL
A0060 43.278600 0.000000 12.285310 0.000000 0.605 0.000 IV ATVA 0.0000 0.0000 1 43.278600 12.285310 0.605 NULL
A0061 43.382155 0.000045 12.406665 0.000035 0.638 0.000 ING ATVO 0.0000 0.0000 0 43.382200 12.406700 0.638 NULL
A0061 43.382155 0.000045 12.406665 0.000035 0.638 0.000 IV ATVO 0.0115 0.0000 1 43.382110 12.406630 0.638 NULL
A0062 37.252200 0.000000 15.219300 0.000000 0.020 0.000 ING AU9 0.0000 0.0000 0 37.252200 15.219300 0.020 0.006
A0063 46.790500 0.000000 3.352670 0.000000 0.225 0.000 UNKNOWN AVF 0.0000 0.0000 0 46.790500 3.352670 0.225 0.214
A0063 46.790500 0.000000 3.352670 0.000000 0.225 0.000 ING AVF 0.0000 0.0000 1 46.790500 3.352670 0.225 0.214
A0064 41.987750 0.000750 13.435850 0.000150 0.730 0.000 ING AZ9 0.0000 0.0000 0 41.987000 13.436000 0.730 0.724
A0064 41.987750 0.000750 13.435850 0.000150 0.730 0.000 ING AZI 0.1685 0.0000 1 41.988500 13.435700 0.730 0.700
A0065 40.810332 0.000632 14.081727 0.000974 0.046 0.031 OSV BAC 0.0000 0.0000 0 40.809700 14.082700 0.015 0.001
A0065 40.810332 0.000632 14.081727 0.000974 0.046 0.031 IV CBAC 0.2160 0.0620 1 40.810963 14.080753 0.077 NULL
A0066 42.548700 0.000000 13.126800 0.000000 0.770 0.000 RSA BAC1 0.0000 0.0000 0 42.548700 13.126800 0.770 0.766
A0067 44.278300 0.000000 10.072200 0.000000 0.490 0.000 GEN BACC 0.0000 0.0000 0 44.278300 10.072200 0.490 0.463
A0067 44.278300 0.000000 10.072200 0.000000 0.490 0.000 GEN BACM 0.0000 0.0000 1 44.278300 10.072200 0.490 0.463
A0068 46.234133 0.000094 13.243400 0.000283 0.590 0.000 RSF BAD 0.0000 0.0000 0 46.234200 13.243200 0.590 0.590
A0068 46.234133 0.000094 13.243400 0.000283 0.590 0.000 ING BAD 0.0000 0.0000 1 46.234200 13.243200 0.590 0.590
A0068 46.234133 0.000094 13.243400 0.000283 0.590 0.000 OX BAD 0.0513 0.0000 1 46.234000 13.243800 0.590 NULL
A0069 43.509690 0.000014 12.244310 0.000014 0.430 0.000 ING BADI 0.0000 0.0000 0 43.509700 12.244300 0.430 NULL
A0069 43.509690 0.000014 12.244310 0.000014 0.430 0.000 BIN BADI 0.0000 0.0000 1 43.509700 12.244300 0.430 0.441
A0069 43.509690 0.000014 12.244310 0.000014 0.430 0.000 IV BADI 0.0041 0.0000 1 43.509670 12.244330 0.430 NULL
A0070 47.834700 0.000000 6.995330 0.000000 1.000 0.000 UNKNOWN BAF 0.0000 0.0000 0 47.834700 6.995330 1.000 1.002
A0071 45.822617 0.000410 10.466633 0.000528 0.803 0.010 MIL BAG2 0.0000 0.0000 0 45.822800 10.466500 0.807 0.790
A0071 45.822617 0.000410 10.466633 0.000528 0.803 0.010 MIL BAG3 0.0000 0.0000 1 45.822800 10.466500 0.807 0.790
A0071 45.822617 0.000410 10.466633 0.000528 0.803 0.010 ING BAG8 0.0155 0.0000 1 45.822800 10.466300 0.807 NULL
A0071 45.822617 0.000410 10.466633 0.000528 0.803 0.010 MIL BAGO 0.1586 0.0270 1 45.821700 10.467800 0.780 0.755
A0071 45.822617 0.000410 10.466633 0.000528 0.803 0.010 IV BAG8 0.0078 0.0000 1 45.822800 10.466400 0.807 NULL
A0072 41.108001 0.001001 16.879362 0.000362 0.010 0.010 UBA BAI 0.0000 0.0000 0 41.107000 16.879000 0.020 0.015
